day,pool_balance_eth,pending_liabilities_eth,solvency_ratio,total_premiums_collected_eth,total_payouts_eth,profit_eth,madj_current,m_total_current,premiums_today,payouts_today,net_flow_today,n_claims_submitted,n_claims_approved,avg_payout_eth,patt_current,n_swaps_this_tick,n_swaps_insured,n_attacks_this_tick,avg_loss_eth,tint_today,vbase_today,e_today,term2_today,n_users_active,avg_claim_rate
56,7681.153797474648,28.62832225681028,268.306110591144,8294.898628289919,713.7448308152891,7581.15379747463,0.0,0.2,232.2910850191647,3.9754645640111903,228.31562045515352,7,7,0.5679235091444519,0.0060127838491980225,4437,4437,7,0.5679235091444519,8000.0,100.0,0.2,0.02,1469,0.009924605626826512
57,7961.587132738134,25.05038162578737,317.8229877560953,8578.792055801114,717.2049230630124,7861.587132738101,0.0,0.2,283.8934275111951,3.46009224772331,280.4333352634718,4,4,0.8650230619308483,0.025460531625247054,4589,4589,4,0.8650230619308483,8000.0,100.0,0.2,0.02,1498,0.009405152259425977
58,8195.864289170893,4.6283424826394315,1770.7990106421405,8813.723842027544,717.8595528565963,8095.864289170948,0.0,0.2,234.93178622643063,0.654629793583922,234.2771564328467,2,2,0.3273148967919918,0.001,4635,4635,2,0.3273148967919918,8000.0,100.0,0.2,0.02,1527,0.008909088079818214
59,8442.145071763469,222.80501370265313,37.890283218805955,9091.86140465874,749.7163328952114,8342.145071763529,0.0,0.2,278.1375626311965,31.856780038615057,246.28078259258143,86,86,0.3704276748676216,0.021931837016908214,4631,4631,86,0.3704276748676216,8000.0,100.0,0.2,0.02,1557,0.010167049288851754
60,8720.566759344561,15.39820746738372,566.3364893489291,9372.450080989383,751.8833216447618,8620.566759344621,0.0,0.2,280.58867633064256,2.1669887495504554,278.4216875810921,9,9,0.24077652772781885,0.022096936923616473,4701,4701,9,0.24077652772781885,8000.0,100.0,0.2,0.02,1588,0.00945735205293046
61,8956.851498534745,18.219336797919077,491.6123785338746,9611.279659206397,754.4281606715927,8856.851498534805,0.0,0.2,238.82957821701348,2.5448390268308003,236.28473919018268,9,9,0.2827598918700895,0.0013229396922688301,4808,4808,9,0.2827598918700895,8000.0,100.0,0.2,0.02,1619,0.008969883376300447
62,9206.738479148742,18.131034076991735,507.7889347101324,9863.683501231706,756.9450220829038,9106.738479148802,0.0,0.2,252.40384202530913,2.516861411311197,249.88698061399793,6,6,0.4194769018852074,0.002167404922885256,4948,4948,6,0.4194769018852074,8000.0,100.0,0.2,0.02,1651,0.008534014198161447
63,9444.720082146781,235.48960737438256,40.10673841385925,10133.547408585457,788.8273264386221,9344.720082146834,0.0,0.2,269.8639073537506,31.882304355718247,237.98160299803237,95,95,0.33560320374440544,0.005009860941277728,5221,5221,95,0.33560320374440544,8000.0,100.0,0.2,0.02,1684,0.00983630628621334
64,9728.747368210692,15.750571645750938,617.6758270761071,10419.821333847314,791.0739656365694,9628.747368210745,0.0,0.2,286.2739252618576,2.2466391979472746,284.0272860639103,6,6,0.3744398663245529,0.012582196025840986,5229,5229,6,0.3744398663245529,8000.0,100.0,0.2,0.02,1717,0.009099123261052357
65,9991.146245457821,385.45437457172926,25.920438071454726,10736.383946573209,845.2377011153283,9891.146245457881,0.0,0.2,316.5626127258947,54.163735478758895,262.39887724713583,119,119,0.455157440997973,0.02218606589458656,5316,5316,119,0.455157440997973,8000.0,100.0,0.2,0.02,1751,0.011078604983649895
66,10312.248920447579,11.03140132580556,934.8086082521828,11059.06164719743,846.8127267497919,10212.248920447639,0.0,0.2,322.67770062422096,1.5750256344636,321.10267498975736,8,8,0.19687820430794709,0.02325133699787748,5319,5319,8,0.19687820430794709,8000.0,100.0,0.2,0.02,1786,0.009784826130786354
67,10640.454265994838,9.210749111667825,1155.2213763499342,11388.52782025389,848.0735542589913,10540.454265994898,0.0,0.2,329.4661730564603,1.26082750919943,328.2053455472609,4,4,0.3152068772998505,0.020754919990880243,5551,5551,4,0.3152068772998505,8000.0,100.0,0.2,0.02,1821,0.009021387323952756
68,10896.496215448054,197.59249732096504,55.14630546800579,11673.241471514157,876.7452560660411,10796.496215448116,0.0,0.2,284.7136512602665,28.67170180704977,256.0419494532167,77,77,0.372359763727915,0.0032009487086258307,5465,5465,77,0.372359763727915,8000.0,100.0,0.2,0.02,1857,0.009247873834901207
69,11179.877277319778,326.66837125388054,34.22393552950061,12001.146741508946,921.2694641891069,11079.87727731984,0.0,0.2,327.9052699947897,44.52420812306582,283.3810618717239,115,115,0.3871670271570963,0.01582884172263038,5728,5728,115,0.3871670271570963,8000.0,100.0,0.2,0.02,1894,0.011011110919961833
70,11476.279135136843,463.27733413049646,24.771941749915598,12361.987359188563,985.7082240516523,11376.27913513691,0.0,0.2,360.8406176796161,64.43875986254545,296.40185781707066,138,138,0.4669475352358365,0.022048604913199626,5883,5883,138,0.4669475352358365,8000.0,100.0,0.2,0.02,1931,0.01179955231296198
71,11778.655246854525,23.042220421533813,511.1770928051245,12667.623629221296,988.968382366705,11678.65524685459,0.0,0.2,305.6362700327336,3.2601583150526494,302.37611171768094,7,7,0.46573690215035873,0.0032939922781861013,5940,5940,7,0.46573690215035873,8000.0,100.0,0.2,0.02,1969,0.010522657527093322
72,12081.611768487792,10.491040560082286,1151.6123400053873,12972.037171685213,990.4254031973546,11981.611768487859,0.0,0.2,304.4135424639171,1.4570208306496397,302.95652163326747,7,7,0.20814583294996086,0.001,6110,6110,7,0.20814583294996086,8000.0,100.0,0.2,0.02,2008,0.009773301746700887
73,12400.474475539522,173.77214423468627,71.36054245145404,13315.348340588149,1014.8738650485552,12300.474475539593,0.0,0.2,343.3111689029356,24.44846185120059,318.862707051735,63,63,0.38807082303492774,0.012531410631785436,6204,6204,63,0.38807082303492774,8000.0,100.0,0.2,0.02,2048,0.009858946597345238
